title,content,label,source_name,publication_date,source_url
"Demo: City library extends weekend hours","Synthetic report: The city library announced expanded weekend hours after publishing a public schedule and staffing plan.",REAL,"Synthetic Civic Desk",2026-01-05,https://example.com/demo/library-hours
"Demo: Health clinic opens vaccination drive","Synthetic report: A county clinic opened a scheduled vaccination drive with eligibility details and appointment guidance.",REAL,"Synthetic Health Desk",2026-01-08,https://example.com/demo/vaccination-drive
"Demo: University publishes climate lab findings","Synthetic report: A university research office released a summary of climate lab measurements and described the study method.",REAL,"Synthetic Science Desk",2026-01-11,https://example.com/demo/climate-lab
"Demo: Transit agency adds late bus route","Synthetic report: The transit agency added a late evening bus route after a board vote and public timetable update.",REAL,"Synthetic Transit Desk",2026-01-14,https://example.com/demo/late-bus-route
"Demo: School district approves lunch funding","Synthetic report: The school district approved lunch-program funding in a recorded meeting and posted the budget line item.",REAL,"Synthetic Education Desk",2026-01-17,https://example.com/demo/lunch-funding
"Demo: Emergency crews complete flood drill","Synthetic report: Emergency crews completed a planned flood-response drill with local volunteers and published a readiness checklist.",REAL,"Synthetic Safety Desk",2026-01-20,https://example.com/demo/flood-drill
"Demo: Mayor secretly bans all bicycles overnight","Synthetic report: A viral post claims the mayor secretly banned all bicycles overnight, but it cites no ordinance, meeting record, or official notice.",FAKE,"Synthetic Rumor Desk",2026-01-06,https://example.com/demo/bicycle-rumor
"Demo: Miracle pill guarantees flu immunity in one hour","Synthetic report: A message claims one pill guarantees flu immunity in one hour while providing no clinical trial reference or regulator notice.",FAKE,"Synthetic Rumor Desk",2026-01-09,https://example.com/demo/miracle-pill
"Demo: City bridge disappears after inspection","Synthetic report: A social post says a city bridge disappeared after inspection, but the claim gives no location, agency record, or witness detail.",FAKE,"Synthetic Rumor Desk",2026-01-12,https://example.com/demo/bridge-rumor
"Demo: Power company replacing meters with spy cameras","Synthetic report: A chain message claims utility meters are being replaced with spy cameras without naming a program, vendor, or public filing.",FAKE,"Synthetic Rumor Desk",2026-01-15,https://example.com/demo/meter-rumor
"Demo: Local museum discovers dinosaur on roof","Synthetic report: A post claims a museum found a dinosaur living on its roof, but it includes no staff statement, photo record, or inspection report.",FAKE,"Synthetic Rumor Desk",2026-01-18,https://example.com/demo/dinosaur-rumor
"Demo: New tax applies to every email sent","Synthetic report: A forwarded message claims a new tax applies to every email sent, but it provides no law number, agency page, or implementation date.",FAKE,"Synthetic Rumor Desk",2026-01-21,https://example.com/demo/email-tax-rumor
